Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Unnamed: 13,address,latitude,longitude
1 - 1 1/2 Storey Shop,Gombak,Bandar Kepong,TAMAN INDAH PERDANA,JALAN PERDANA 7,September 2024,Leasehold,121.00,sq.m,108,sq.m,    ,"RM1,000,000.00",,JALAN PERDANA 7 TAMAN INDAH PERDANA Bandar Kepong Gombak Malaysia,3.2337,101.6771
1 - 1 1/2 Storey Shop,Gombak,Bandar Kuang,BANDAR KUANG,JALAN PEKAN KUANG,June 2023,Freehold,185.80,sq.m,111,sq.m,    ,"RM340,000.00",,JALAN PEKAN KUANG BANDAR KUANG Bandar Kuang Gombak Malaysia,3.2595,101.6143
1 - 1 1/2 Storey Shop,Gombak,Bandar Kuang,BANDAR KUANG,JALAN PEKAN KUANG,June 2023,Freehold,185.80,sq.m,111,sq.m,    ,"RM350,000.00",,JALAN PEKAN KUANG BANDAR KUANG Bandar Kuang Gombak Malaysia,3.2595,101.6143
1 - 1 1/2 Storey Shop,Gombak,Bandar Kuang,BANDAR KUANG,JALAN PEKAN KUANG,November 2023,Freehold,185.80,sq.m,111,sq.m,    ,"RM320,000.00",,JALAN PEKAN KUANG BANDAR KUANG Bandar Kuang Gombak Malaysia,3.2595,101.6143
1 - 1 1/2 Storey Shop,Gombak,Bandar Rawang,KG DATO LEE KIM SAI,JALAN BATU 18/3,June 2023,Leasehold,222.00,sq.m,222,sq.m,    ,"RM730,000.00",,JALAN BATU 18/3 KG DATO LEE KIM SAI Bandar Rawang Gombak Malaysia,3.321,101.574
1 - 1 1/2 Storey Shop,Gombak,Bandar Rawang,PEKAN RAWANG,JALAN CROSS,October 2021,Leasehold,"1,062.00",sq.m,439,sq.m,    ,"RM2,600,000.00",,JALAN CROSS PEKAN RAWANG Bandar Rawang Gombak Malaysia,3.315,101.575
1 - 1 1/2 Storey Shop,Gombak,Bandar Rawang,TAMAN HIJAU / GREEN PARK,LORONG 4,February 2023,Freehold,56.00,sq.m,56,sq.m,    ,"RM220,000.00",,LORONG 4 TAMAN HIJAU / GREEN PARK Bandar Rawang Gombak Malaysia,3.3224,101.5688
1 - 1 1/2 Storey Shop,Gombak,Bandar Selayang,SUNWAY BATU CAVES, JALAN SM 1A,December 2023,Leasehold,67.00,sq.m,55,sq.m,    ,"RM390,000.00",,JALAN SM 1A SUNWAY BATU CAVES Bandar Selayang Gombak Malaysia,3.2379,101.6769
1 - 1 1/2 Storey Shop,Gombak,Bandar Selayang,SUNWAY BATU CAVES,JALAN SM 1A,May 2021,Leasehold,67.00,sq.m,55,sq.m,    ,"RM388,000.00",,JALAN SM 1A SUNWAY BATU CAVES Bandar Selayang Gombak Malaysia,3.2379,101.6769
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN BUKIT RAHMAN PUTRA,JALAN BRP 8/1A,October 2021,Freehold,120.77,sq.m,108,sq.m,    ,"RM480,000.00",,JALAN BRP 8/1A TAMAN BUKIT RAHMAN PUTRA Batu Gombak Malaysia,3.2195,101.5859
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN BUKIT RAHMAN PUTRA,JALAN BRP 8/1A,June 2022,Freehold,120.77,sq.m,107,sq.m,    ,"RM500,000.00",,JALAN BRP 8/1A TAMAN BUKIT RAHMAN PUTRA Batu Gombak Malaysia,3.2195,101.5859
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN BUKIT RAHMAN PUTRA,JALAN BRP 8/1B,October 2025,Freehold,120.77,sq.m,107,sq.m,    ,"RM800,000.00",,JALAN BRP 8/1B TAMAN BUKIT RAHMAN PUTRA Batu Gombak Malaysia,3.1478,101.5887
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN BUKIT RAHMAN PUTRA,JLN BRP 8/1A,May 2024,Freehold,244.23,sq.m,180,sq.m,    ,"RM1,300,000.00",,JLN BRP 8/1A TAMAN BUKIT RAHMAN PUTRA Batu Gombak Malaysia,3.146,101.595
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN BUKIT RAHMAN PUTRA,JLN BRP 8/1B,June 2022,Freehold,120.77,sq.m,107,sq.m,    ,"RM500,000.00",,JLN BRP 8/1B TAMAN BUKIT RAHMAN PUTRA Batu Gombak Malaysia,3.172,101.596
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN SELAYANG PKNS,JALAN 10,July 2023,Leasehold,139.54,sq.m,130,sq.m,    ,"RM410,000.00",,JALAN 10 TAMAN SELAYANG PKNS Batu Gombak Malaysia,3.2398,101.6648
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN SELAYANG PKNS,JALAN 10,September 2024,Leasehold,144.09,sq.m,130,sq.m,    ,"RM350,000.00",,JALAN 10 TAMAN SELAYANG PKNS Batu Gombak Malaysia,3.2398,101.6648
1 - 1 1/2 Storey Shop,Gombak,Batu,TAMAN SRI GOMBAK,JALAN 20,October 2024,Freehold,130.06,sq.m,227,sq.m,    ,"RM1,500,000.00",,JALAN 20 TAMAN SRI GOMBAK Batu Gombak Malaysia,3.2539,101.6975
1 - 1 1/2 Storey Shop,Gombak,Pekan Pengkalan Kundang,KAMPONG BARU KUNDANG,JALAN PEKAN 1,January 2022,Leasehold,105.91,sq.m,92,sq.m,    ,"RM350,000.00",,JALAN PEKAN 1 KAMPONG BARU KUNDANG Pekan Pengkalan Kundang Gombak Malaysia,3.268,101.6
